,Thank Customer,Introduce Self,Ask Reason,Ask Accurate Details,Ask Permission,Resolve Issue,Offer Assistance,Thank Again,Farewell,Average
metric1_predictions,0.0,100.0,100.0,66.67,100.0,100.0,100.0,100.0,100.0,85.18555555555557
metric2_predictions,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
metric3_predictions,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
metric4_predictions,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
metric5_predictions,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
metric6_predictions,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
predictions,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Average,85.71428571428571,100.0,100.0,95.23857142857143,100.0,100.0,100.0,100.0,100.0,97.88365079365079
